"Matr,CF,1,2,3,tot,CDS,Tipo_CDS,Coorte,Anni_Carriera,ANNO_DIPLOMA,VOTO_DIPLOMA,CODICE_MECCANOGRAFICO,TIPO_MATURITA,ANNO_ACCADEMICO_LAUREA,VOTO_LAUREA,Erasmus,TESI_ESTERO,STATO_STUDENTE,MOTIVO_STATO_STUDENTE,FC"
"[4262, 'A1035', 33, 75, 18, 126, '06222', 2, 2011, 2, 2008, 100, 'SAPS09000C', 'Scientifica', 2013, 111, 0, 0, 'Cessato', 'Laureato', 1]"
"[4263, 'A2887', 39, 63, 18, 120, '06222', 2, 2011, 2, 2006, 100, 'AVPS06000B', 'Scientifica', 2013, 111, 0, 0, 'Cessato', 'Laureato', 1]"
"[4264, 'A3089', 33, 69, 18, 120, '06222', 2, 2011, 2, 2007, 100, 'AVPM040007', 'Scientifica', 2013, 111, 0, 0, 'Cessato', 'Laureato', 1]"
"[4265, 'A2457', 27, 39, 30, 96, '06222', 2, 2011, 2, 2005, 100, 'AVPM040007', 'Scientifica', 2015, 108, 0, 0, 'Cessato', 'Laureato', 3]"
"[4266, 'A434', 39, 24, 57, 120, '06222', 2, 2011, 2, 2007, 100, 'SAPS18000P', 'Scientifica', 2013, 111, 0, 0, 'Cessato', 'Laureato', 1]"
"[4267, 'A4545', 21, 51, 24, 96, '06222', 2, 2011, 2, 2006, 100, 'SAPS18000P', 'Scientifica', 2014, 108, 0, 0, 'Cessato', 'Laureato', 2]"
"[4268, 'A1718', 42, 60, 18, 120, '06222', 2, 2011, 2, 2008, 94, 'AVPS03000G', 'Scientifica', 2013, 111, 0, 0, 'Cessato', 'Laureato', 1]"
"[4269, 'A2442', 39, 57, 24, 120, '06222', 2, 2011, 2, 2007, 96, 'SAPS06000L', 'Scientifica', 2013, 111, 0, 0, 'Cessato', 'Laureato', 1]"
"[4270, 'A2084', 30, 51, 39, 120, '06222', 2, 2011, 2, 2007, 90, 'AVPS03000G', 'Scientifica', 2013, 111, 0, 0, 'Cessato', 'Laureato', 1]"
"[4271, 'A4881', 51, 39, 30, 120, '06222', 2, 2011, 2, 2008, 100, 'SAPS08000T', 'Scientifica', 2013, 111, 1, 0, 'Cessato', 'Laureato', 1]"
"[4272, 'A3338', 33, 57, 30, 120, '06222', 2, 2011, 2, 2007, 92, 'SAPS120003', 'Scientifica', 2013, 111, 0, 0, 'Cessato', 'Laureato', 1]"
"[4273, 'A236', 30, 48, 42, 120, '06222', 2, 2011, 2, 2008, 100, 'SAPS06000L', 'Scientifica', 2013, 111, 0, 0, 'Cessato', 'Laureato', 1]"
"[4274, 'A988', 45, 39, 36, 120, '06222', 2, 2011, 2, 2007, 100, 'NAPC02000L', 'Scientifica', 2013, 111, 0, 0, 'Cessato', 'Laureato', 1]"
"[4275, 'A1118', 24, 72, 24, 120, '06222', 2, 2011, 2, 2008, 88, 'NAPS01301N', 'Scientifica', 2013, 111, 0, 0, 'Cessato', 'Laureato', 1]"
"[4276, 'A967', 33, 33, 36, 102, '06222', 2, 2011, 2, 2008, 100, 'AVPS03000G', 'Scientifica', 2014, 111, 0, 0, 'Cessato', 'Laureato', 2]"
"[4277, 'A3199', 30, 66, 24, 120, '06222', 2, 2011, 2, 2008, 92, 'SAPS020006', 'Scientifica', 2013, 111, 0, 0, 'Cessato', 'Laureato', 1]"
"[4278, 'A2554', 27, 45, 24, 96, '06222', 2, 2011, 2, 2008, 100, 'SAPS09000C', 'Scientifica', 2014, 110, 0, 0, 'Cessato', 'Laureato', 2]"
"[4279, 'A4610', 0, 30, 15, 45, '06222', 2, 2011, 2, 2008, 100, 'SAPS06000L', 'Scientifica', 2015, 106, 0, 0, 'Cessato', 'Laureato', 3]"
"[4280, 'A801', 33, 45, 42, 120, '06222', 2, 2011, 2, 2006, 100, 'NAPS180008', 'Scientifica', 2013, 111, 1, 0, 'Cessato', 'Laureato', 1]"
"[4281, 'A1656', 0, 0, 0, 0, '06222', 2, 2011, 1, 1984, 51, 'CEPC00101A', 'Classica', 0, 0, 0, 0, 'Cessato', 'Decadenza', 0]"
"[4282, 'A1444', 30, 45, 0, 75, '06222', 2, 2011, 2, 2005, 100, 'SAPS09000C', 'Scientifica', 2015, 110, 1, 0, 'Cessato', 'Laureato', 3]"
"[4283, 'A1583', 51, 45, 24, 120, '06222', 2, 2012, 2, 2008, 75, 'AVPS02701R', 'Scientifica', 2014, 111, 1, 0, 'Cessato', 'Laureato', 1]"
"[4284, 'A769', 24, 33, 21, 78, '06222', 2, 2012, 2, 2008, 97, 'AVPS12000T', 'Scientifica', 2016, 111, 1, 1, 'Cessato', 'Laureato', 3]"
