"Tipo_Maturita, Voto_Diploma, CFU_Primo"
"[""'Scientifica'"", 100, 1048]"
"[""'Scientifica'"", 82, 1048]"
"[""'Scientifica'"", 98, 1048]"
"[""'Scientifica'"", 100, 1060]"
"[""'Scientifica'"", 97, 1015]"
"[""'Scientifica'"", 100, 1060]"
"[""'Scientifica'"", 83, 1048]"
"[""'Scientifica'"", 98, 1036]"
"[""'Scientifica'"", 98, 1048]"
"[""'Scientifica'"", 91, 1027]"
"[""'Tecnico'"", 83, 1039]"
"[""'Liceo-Europeo'"", 95, 1054]"
"[""'Scientifica'"", 94, 1006]"
"[""'Scientifica'"", 100, 1060]"
"[""'Scientifica'"", 100, 1048]"
"[""'Scientifica'"", 98, 1054]"
"[""'Scientifica'"", 87, 1039]"
"[""'Scientifica'"", 80, 1006]"
"[""'Classica'"", 77, 1027]"
"[""'Socio-Psico-Pedagogico'"", 86, 1015]"
"[""'Scientifica'"", 80, 1048]"
"[""'Scientifica'"", 75, 1039]"
"[""'Tecnico'"", 100, 1048]"
"[""'Tecnico'"", 72, 1027]"
"[""'Scientifica'"", 73, 1015]"
"[""'Scientifica'"", 78, 1048]"
"[""'Scientifica'"", 85, 1027]"
"[""'Scientifica'"", 82, 1015]"
"[""'Scientifica'"", 92, 1048]"
"[""'Alberghiere'"", 98, 1054]"
"[""'Scientifica'"", 100, 1060]"
"[""'Scientifica'"", 91, 1048]"
"[""'Scientifica'"", 90, 1048]"
"[""'Scientifica'"", 60, 1039]"
"[""'Tecnico'"", 86, 1039]"
"[""'Scientifica'"", 82, 1054]"
"[""'Scientifica'"", 86, 1036]"
"[""'Scientifica'"", 100, 1054]"
"[""'Scientifica'"", 100, 1048]"
"[""'Scientifica'"", 82, 1015]"
"[""'Classica'"", 86, 1060]"
"[""'Scientifica'"", 84, 1033]"
"[""'Scientifica'"", 100, 1054]"
"[""'Scientifica'"", 97, 1054]"
"[""'Scientifica'"", 100, 1048]"
"[""'Scientifica'"", 73, 1036]"
"[""'Agrario'"", 83, 1027]"
"[""'Scientifica'"", 89, 1006]"
"[""'Scientifica'"", 86, 1048]"
"[""'Scientifica'"", 100, 1054]"
"[""'Classica'"", 80, 1036]"
"[""'Scientifica'"", 78, 1054]"
"[""'Scientifica'"", 87, 1048]"
"[""'Scientifica'"", 95, 1048]"
"[""'Scientifica'"", 95, 1048]"
"[""'Classica'"", 91, 1024]"
"[""'Scientifica'"", 74, 1015]"
"[""'Scientifica'"", 98, 1048]"
"[""'Scientifica'"", 73, 1015]"
"[""'Liceo-Europeo'"", 80, 1027]"
"[""'Scientifica'"", 78, 1039]"
"[""'Scientifica'"", 82, 1015]"
"[""'Scientifica'"", 87, 1027]"
"[""'Scientifica'"", 100, 1015]"
"[""'Scientifica'"", 76, 1039]"
"[""'Scientifica'"", 91, 1054]"
"[""'Scientifica'"", 97, 1048]"
"[""'Scientifica'"", 80, 1036]"
"[""'Scientifica'"", 80, 1015]"
"[""'Tecnico'"", 87, 1048]"
"[""'Scientifica'"", 100, 1015]"
"[""'Scientifica'"", 90, 1048]"
