"Tipo_Maturita, Voto_Diploma, CFU_Primo"
"[3, 100, 1048, 0]"
"[3, 82, 1048, 1]"
"[3, 98, 1048, 0]"
"[3, 100, 1060, 0]"
"[3, 97, 1015, 3]"
"[3, 100, 1060, 0]"
"[3, 83, 1048, 2]"
"[3, 98, 1036, 3]"
"[3, 98, 1048, 3]"
"[3, 91, 1027, 2]"
"[2, 83, 1039, 3]"
"[1, 95, 1054, 0]"
"[3, 94, 1006, 0]"
"[3, 100, 1060, 0]"
"[3, 100, 1048, 3]"
"[3, 98, 1054, 0]"
"[3, 87, 1039, 2]"
"[3, 80, 1006, 0]"
"[2, 77, 1027, 3]"
"[1, 86, 1015, 3]"
"[3, 80, 1048, 1]"
"[3, 75, 1039, 3]"
"[2, 100, 1048, 0]"
"[2, 72, 1027, 3]"
"[3, 73, 1015, 2]"
"[3, 78, 1048, 1]"
"[3, 85, 1027, 3]"
"[3, 82, 1015, 2]"
"[3, 92, 1048, 1]"
"[1, 98, 1054, 0]"
"[3, 100, 1060, 0]"
"[3, 91, 1048, 3]"
"[3, 90, 1048, 1]"
"[3, 60, 1039, 3]"
"[2, 86, 1039, 1]"
"[3, 82, 1054, 0]"
"[3, 86, 1036, 0]"
"[3, 100, 1054, 1]"
"[3, 100, 1048, 3]"
"[3, 82, 1015, 1]"
"[2, 86, 1060, 0]"
"[3, 84, 1033, 0]"
"[3, 100, 1054, 1]"
"[3, 97, 1054, 0]"
"[3, 100, 1048, 0]"
"[3, 73, 1036, 1]"
"[1, 83, 1027, 3]"
"[3, 89, 1006, 0]"
"[3, 86, 1048, 2]"
"[3, 100, 1054, 0]"
"[2, 80, 1036, 2]"
"[3, 78, 1054, 1]"
"[3, 87, 1048, 2]"
"[3, 95, 1048, 0]"
"[3, 95, 1048, 1]"
"[2, 91, 1024, 1]"
"[3, 74, 1015, 3]"
"[3, 98, 1048, 2]"
"[3, 73, 1015, 3]"
"[1, 80, 1027, 2]"
"[3, 78, 1039, 3]"
"[3, 82, 1015, 3]"
"[3, 87, 1027, 3]"
"[3, 100, 1015, 0]"
"[3, 76, 1039, 3]"
"[3, 91, 1054, 2]"
"[3, 97, 1048, 1]"
"[3, 80, 1036, 3]"
"[3, 80, 1015, 0]"
"[2, 87, 1048, 0]"
"[3, 100, 1015, 0]"
"[3, 90, 1048, 1]"
"[2, 90, 1048, 1]"
"[3, 100, 1054, 0]"
"[2, 100, 1048, 0]"
"[3, 78, 1024, 3]"
"[3, 85, 1054, 0]"
"[3, 67, 1048, 2]"
"[3, 70, 1027, 3]"
"[2, 92, 1027, 3]"
"[2, 66, 1018, 1]"
"[3, 94, 1060, 0]"
"[2, 91, 1024, 2]"
"[3, 86, 1054, 1]"
"[2, 100, 1060, 0]"
"[3, 81, 1054, 0]"
"[1, 85, 1042, 2]"
"[3, 100, 1060, 0]"
"[3, 100, 1054, 0]"
"[3, 88, 1048, 2]"
"[3, 80, 1048, 2]"
"[2, 89, 1054, 0]"
"[3, 100, 1036, 2]"
"[3, 100, 1054, 1]"
"[2, 100, 1048, 1]"
"[3, 87, 1048, 1]"
"[2, 70, 1030, 2]"
"[2, 62, 1021, 2]"
"[2, 100, 1048, 0]"
