'Matr','CF','1','2','3','tot','CDS','Tipo_CDS','Coorte','Anni_Carriera','ANNO_DIPLOMA','VOTO_DIPLOMA','CODICE_MECCANOGRAFICO','TIPO_MATURITA','ANNO_ACCADEMICO_LAUREA','VOTO_LAUREA','Erasmus','TESI_ESTERO','STATO_STUDENTE','MOTIVO_STATO_STUDENTE','FC','CLASSE'
218,217,48,48,84,180,612,3,2013,3,2013,100,35,'Scientifica',2015,107,0,0,'Cessato','Laureato',0,11
219,2764,48,24,63,135,612,3,2013,3,2013,82,195,'Scientifica',2016,96,0,0,'Cessato','Laureato',1,11
220,3679,48,66,66,180,612,3,2013,3,2013,98,11,'Scientifica',2015,111,0,0,'Cessato','Laureato',0,11
221,3026,60,54,66,180,612,3,2013,3,2013,100,11,'Scientifica',2015,102,0,0,'Cessato','Laureato',0,11
222,2100,15,24,12,51,612,3,2013,3,2013,97,88,'Scientifica',0,0,0,0,'Attivo','Immatricolazione',1,11
223,3080,60,60,60,180,612,3,2013,3,2013,100,27,'Scientifica',2015,111,0,0,'Cessato','Laureato',0,11
224,4002,48,48,51,147,612,3,2013,3,2013,83,35,'Scientifica',2017,96,0,0,'Cessato','Laureato',1,11
225,2780,36,24,36,96,612,3,2013,3,2013,98,26,'Scientifica',0,0,0,0,'Attivo','Immatricolazione',1,11
226,1694,48,12,24,84,612,3,2013,3,2013,98,26,'Scientifica',0,0,0,0,'Attivo','Immatricolazione',1,11
227,2852,27,27,-1,54,612,3,2013,3,2013,91,7,'Scientifica',0,0,0,0,'Cessato','Rinuncia',1,11
228,474,39,9,12,60,612,3,2013,3,2013,83,157,'Tecnico',0,0,0,0,'Attivo','Immatricolazione',1,13
229,3330,54,66,60,180,612,3,2013,3,2013,95,134,'Liceo-Europeo',2015,108,0,0,'Cessato','Laureato',0,7
230,3644,6,-1,-1,6,612,3,2013,1,2013,94,254,'Scientifica',0,0,0,0,'Cessato','Decadenza',1,11
231,3822,60,60,60,180,612,3,2013,3,2013,100,200,'Scientifica',2015,111,0,0,'Cessato','Laureato',0,11
232,846,48,36,45,129,612,3,2013,3,2013,100,52,'Scientifica',0,0,0,0,'Attivo','Immatricolazione',1,11
233,568,54,48,78,180,612,3,2013,3,2013,98,273,'Scientifica',2015,101,0,0,'Cessato','Laureato',0,11
234,1198,39,21,36,96,612,3,2013,3,2013,87,295,'Scientifica',2017,92,0,0,'Cessato','Laureato',1,11
235,4202,6,-1,-1,6,612,3,2013,2,2013,80,195,'Scientifica',0,0,0,0,'Cessato','Rinuncia',1,11
237,456,27,21,24,72,612,3,2013,3,2012,77,77,'Classica',0,0,0,0,'Attivo','Immatricolazione',1,5
