TipoMaturità,VotoDiploma,CFU1,AnniFuoriCorso,Cluster
11,100,48,0,1
11,82,48,1,1
11,98,48,0,1
11,100,60,0,1
11,97,15,3,0
11,100,60,0,1
11,83,48,2,1
11,98,36,3,1
11,98,48,3,1
11,91,27,2,0
13,83,39,3,1
7,95,54,0,1
11,94,6,0,0
11,100,60,0,1
11,100,48,3,1
11,98,54,0,1
11,87,39,2,1
11,80,6,0,0
5,77,27,3,0
12,86,15,3,0
11,80,48,1,1
11,75,39,3,0
13,100,48,0,1
13,72,27,3,0
11,73,15,2,0
11,78,48,1,1
11,85,27,3,0
11,82,15,2,0
11,92,48,1,1
3,98,54,0,1
11,100,60,0,1
11,91,48,3,1
11,90,48,1,1
11,60,39,3,0
13,86,39,1,1
11,82,54,0,1
11,86,36,0,1
11,100,54,1,1
11,100,48,3,1
11,82,15,1,0
5,86,60,0,1
11,84,33,0,0
11,100,54,1,1
11,97,54,0,1
11,100,48,0,1
11,73,36,1,0
2,83,27,3,0
11,89,6,0,0
11,86,48,2,1
11,100,54,0,1
5,80,36,2,0
11,78,54,1,1
11,87,48,2,1
11,95,48,0,1
11,95,48,1,1
5,91,24,1,0
11,74,15,3,0
11,98,48,2,1
11,73,15,3,0
7,80,27,2,0
11,78,39,3,1
11,82,15,3,0
11,87,27,3,0
11,100,15,0,0
11,76,39,3,0
11,91,54,2,1
11,97,48,1,1
11,80,36,3,0
11,80,15,0,0
13,87,48,0,1
11,100,15,0,0
11,90,48,1,1
5,90,48,1,1
11,100,54,0,1
5,100,48,0,1
11,78,24,3,0
11,85,54,0,1
11,67,48,2,1
11,70,27,3,0
5,92,27,3,0
6,66,18,1,0
11,94,60,0,1
5,91,24,2,0
11,86,54,1,1
13,100,60,0,1
11,81,54,0,1
7,85,42,2,1
11,100,60,0,1
11,100,54,0,1
11,88,48,2,1
11,80,48,2,1
5,89,54,0,1
11,100,36,2,1
11,100,54,1,1
5,100,48,1,1
11,87,48,1,1
5,70,30,2,0
13,62,21,2,0
13,100,48,0,1
5,90,60,0,1
11,80,48,2,1
11,84,42,1,1
11,100,60,0,1
11,100,48,1,1
11,83,36,1,0
7,86,36,2,1
11,96,54,0,1
13,95,42,2,1
11,81,48,2,1
11,81,54,2,1
11,72,48,1,1
13,100,9,0,0
13,83,48,2,1
11,100,60,0,1
11,86,30,2,0
11,95,42,2,1
11,78,48,1,1
11,74,54,2,1
13,80,36,2,0
11,95,9,0,0
8,99,54,1,1
11,84,54,0,1
11,100,54,1,1
7,76,54,1,1
11,100,60,0,1
12,80,39,2,1
11,78,48,2,1
11,85,54,1,1
11,87,48,1,1
11,97,54,0,1
4,99,48,1,1
11,70,54,1,1
11,67,9,2,0
5,90,54,2,1
11,81,18,2,0
11,100,48,1,1
11,88,36,2,1
11,81,48,2,1
11,66,42,2,0
11,74,54,1,1
11,88,54,2,1
11,98,36,2,1
11,68,42,1,0
11,96,54,0,1
7,100,48,1,1
11,93,48,2,1
5,100,48,0,1
5,100,48,0,1
11,94,30,3,0
11,88,54,1,1
11,100,42,2,1
11,100,48,0,1
5,92,48,1,1
11,76,21,1,0
11,80,27,1,0
11,86,42,2,1
11,75,21,2,0
11,74,6,0,0
4,88,9,2,0
5,72,48,2,1
11,92,48,1,1
11,95,48,1,1
11,85,54,0,1
11,68,33,1,0
11,88,60,0,1
11,100,54,0,1
11,100,54,0,1
11,98,54,1,1
11,72,48,1,1
11,70,54,0,1
13,60,6,1,0
11,90,27,0,0
11,72,54,0,1
10,73,54,1,1
5,84,6,0,0
5,83,54,1,1
11,72,54,1,1
11,75,42,1,1
11,100,54,1,1
11,97,36,1,1
11,71,54,1,1
7,84,54,0,1
5,100,54,0,1
11,100,60,0,1
11,85,42,1,1
5,95,36,0,1
11,88,42,0,1
11,100,60,0,1
11,100,60,0,1
11,99,54,0,1
11,94,54,0,1
11,81,54,1,1
11,85,54,1,1
11,82,54,0,1
11,87,54,1,1
11,82,54,0,1
11,80,12,0,0
5,100,54,1,1
13,77,36,1,0
11,87,54,1,1
11,96,54,1,1
11,100,60,0,1
11,78,54,1,1
6,94,42,1,1
11,100,54,0,1
11,80,12,1,0
11,100,54,0,1
5,91,12,1,0
11,90,54,0,1
11,98,48,1,1
11,100,54,0,1
11,85,54,1,1
13,90,42,1,1
11,90,54,1,1
11,80,54,0,1
11,78,54,0,1
11,92,54,1,1
11,98,54,0,1
5,100,60,0,1
11,89,33,1,0
11,86,15,1,0
11,93,54,1,1
11,80,9,0,0
2,93,6,1,0
7,86,54,1,1
5,81,33,1,0
11,91,36,1,1
11,91,48,1,1
11,73,36,1,0
11,97,54,1,1
11,94,60,0,1
13,71,6,0,0
13,86,42,1,1
7,95,33,1,1
11,70,54,0,1
11,66,42,1,0
5,95,24,1,0
11,80,36,1,0
8,90,54,0,1
11,78,33,1,0
11,82,54,0,1
11,96,60,0,1
7,100,54,1,1
11,80,30,0,0
7,82,54,0,1
11,93,54,1,1
8,80,36,0,0
11,86,54,0,1
11,90,15,0,0
11,93,9,0,0
11,100,60,0,1
5,95,48,0,1
11,100,48,0,1
5,86,9,0,0
11,76,42,1,1
7,92,48,1,1
11,83,54,1,1
11,85,15,0,0
11,88,42,1,1
5,90,60,0,1
11,73,54,1,1
5,85,48,0,1
11,82,54,0,1
11,78,33,0,0
11,87,33,0,0
11,97,48,0,1
11,78,54,0,1
11,100,60,0,1
11,71,42,0,1
11,100,60,0,1
5,96,60,0,1
13,74,60,0,1
5,100,60,0,1
13,99,18,0,0
11,100,60,0,1
11,92,60,0,1
11,95,60,0,1
11,96,60,0,1
11,100,60,0,1
11,96,60,0,1
13,80,42,0,1
11,100,54,0,1
11,91,54,0,1
11,72,42,0,1
6,77,30,0,0
11,97,54,0,1
13,100,60,0,1
11,100,60,0,1
11,93,54,0,1
7,88,60,0,1
11,92,54,0,1
