Matr,CF,1,2,3,tot,CDS,Tipo_CDS,Coorte,Anni_Carriera,ANNO_DIPLOMA,VOTO_DIPLOMA,CODICE_MECCANOGRAFICO,TIPO_MATURITA,ANNO_ACCADEMICO_LAUREA,VOTO_LAUREA,Erasmus,TESI_ESTERO,STATO_STUDENTE,MOTIVO_STATO_STUDENTE,FC
1,'A4588',54,54,72,180,'06122',3,2011,3,2010,100,'SAPS120003','Scientifica',2013,104,0,0,'Cessato','Laureato',0
2,'A138',54,30,18,102,'06122',3,2011,3,2011,97,'SAIS00100B','Scientifica',2016,100,0,0,'Cessato','Laureato',3
3,'A2521',42,18,24,84,'06122',3,2011,3,2011,85,'SAPS04000B','Scientifica',2016,100,0,0,'Cessato','Laureato',3
4,'A2387',27,24,39,90,'06122',3,2011,3,2011,75,'SAPS120003','Scientifica',2015,95,0,0,'Cessato','Laureato',2
5,'A1830',33,51,30,114,'06122',3,2011,3,2011,100,'BNRI011018','Professionale-Industriale',2015,95,0,0,'Cessato','Laureato',2
6,'A1908',18,21,15,54,'06122',3,2011,3,2011,74,'SAPS08000T','Scientifica',?,?,0,0,'Attivo','Immatricolazione',5
7,'A3219',42,48,45,135,'06122',3,2011,3,2011,83,'CTPS070005','Scientifica',2014,100,1,1,'Cessato','Laureato',1
8,'A2039',18,6,?,24,'06122',3,2011,3,2011,91,'SAPS10000T','Scientifica',?,?,0,0,'Attivo','Immatricolazione',5
9,'A941',33,?,?,33,'06122',3,2011,2,2010,77,'SAPS09000C','Scientifica',?,?,0,0,'Cessato','Rinuncia',0
10,'A3101',48,42,51,141,'06122',3,2011,3,2011,88,'SAPS020006','Scientifica',2014,100,0,0,'Cessato','Laureato',1
11,'A654',54,42,84,180,'06122',3,2011,3,2011,100,'BNPC01101X','Classica',2013,111,0,0,'Cessato','Laureato',0
12,'A2931',54,54,69,177,'06122',3,2011,3,2011,100,'NAPS12000L','Scientifica',2014,109,0,0,'Cessato','Laureato',1
13,'A1709',60,60,60,180,'06122',3,2011,3,2011,100,'SAPS04000B','Scientifica',2013,106,0,0,'Cessato','Laureato',0
14,'A431',33,51,30,114,'06122',3,2011,3,2011,100,'RCIS02300N','Classica',2016,95,0,0,'Cessato','Laureato',3
15,'A3090',?,?,?,0,'06122',3,2011,1,2011,73,'AVPS12000T','Scientifica',?,?,0,0,'Cessato','Rinuncia',0
16,'A2448',36,42,57,135,'06122',3,2011,3,2011,100,'SAPS020006','Scientifica',2014,99,0,0,'Cessato','Laureato',1
17,'A3189',42,30,48,120,'06122',3,2011,3,2011,85,'SAPC040008','Classica',2015,95,0,0,'Cessato','Laureato',2
18,'A777',33,24,15,72,'06122',3,2011,3,2011,94,'NAPC02000L','Scientifica',?,?,0,0,'Attivo','Immatricolazione',2
19,'A634',?,?,?,0,'06122',3,2011,1,2011,71,'AVPS06000B','Scientifica',?,?,0,0,'Cessato','Rinuncia',0
