Matr,CF,1,2,3,tot,CDS,Tipo_CDS,Coorte,Anni_Carriera,ANNO_DIPLOMA,VOTO_DIPLOMA,CODICE_MECCANOGRAFICO,TIPO_MATURITA,ANNO_ACCADEMICO_LAUREA,VOTO_LAUREA,Erasmus,TESI_ESTERO,STATO_STUDENTE,MOTIVO_STATO_STUDENTE,FC,CLASSE
218,'A217',48,48,84,180,'06122',3,2013,3,2013,100,'SAPS06000L','Scientifica',2015,107,0,0,'Cessato','Laureato',0,3
219,'A2764',48,24,63,135,'06122',3,2013,3,2013,82,'AVPM040007','Scientifica',2016,96,0,0,'Cessato','Laureato',1,3
220,'A3679',48,66,66,180,'06122',3,2013,3,2013,98,'SAPS020006','Scientifica',2015,111,0,0,'Cessato','Laureato',0,3
221,'A3026',60,54,66,180,'06122',3,2013,3,2013,100,'SAPS020006','Scientifica',2015,102,0,0,'Cessato','Laureato',0,3
222,'A2100',15,24,12,51,'06122',3,2013,3,2013,97,'CEIS00400E','Scientifica',0,0,0,0,'Attivo','Immatricolazione',3,3
223,'A3080',60,60,60,180,'06122',3,2013,3,2013,100,'AVPS03000G','Scientifica',2015,111,0,0,'Cessato','Laureato',0,3
224,'A4002',48,48,51,147,'06122',3,2013,3,2013,83,'SAPS06000L','Scientifica',2017,96,0,0,'Cessato','Laureato',2,3
225,'A2780',36,24,36,96,'06122',3,2013,3,2013,98,'SAPS05701T','Scientifica',0,0,0,0,'Attivo','Immatricolazione',3,3
226,'A1694',48,12,24,84,'06122',3,2013,3,2013,98,'SAPS05701T','Scientifica',0,0,0,0,'Attivo','Immatricolazione',3,3
227,'A2852',27,27,-1,54,'06122',3,2013,3,2013,91,'SAPS10000T','Scientifica',0,0,0,0,'Cessato','Rinuncia',2,3
228,'A474',39,9,12,60,'06122',3,2013,3,2013,83,'SATF06000P','Tecnico',0,0,0,0,'Attivo','Immatricolazione',3,2
229,'A3330',54,66,60,180,'06122',3,2013,3,2013,95,'SAPS070007','Liceo-Europeo',2015,108,0,0,'Cessato','Laureato',0,1
230,'A3644',6,-1,-1,6,'06122',3,2013,1,2013,94,'SAPS18000P','Scientifica',0,0,0,0,'Cessato','Decadenza',0,3
231,'A3822',60,60,60,180,'06122',3,2013,3,2013,100,'SAPC00101P','Scientifica',2015,111,0,0,'Cessato','Laureato',0,3
232,'A846',48,36,45,129,'06122',3,2013,3,2013,100,'SAPS08000T','Scientifica',0,0,0,0,'Attivo','Immatricolazione',3,3
233,'A568',54,48,78,180,'06122',3,2013,3,2013,98,'SAPS01000G','Scientifica',2015,101,0,0,'Cessato','Laureato',0,3
234,'A1198',39,21,36,96,'06122',3,2013,3,2013,87,'SAPS170004','Scientifica',2017,92,0,0,'Cessato','Laureato',2,3
235,'A4202',6,-1,-1,6,'06122',3,2013,2,2013,80,'AVPM040007','Scientifica',0,0,0,0,'Cessato','Rinuncia',0,3
237,'A456',27,21,24,72,'06122',3,2013,3,2012,77,'SAPC011019','Classica',0,0,0,0,'Attivo','Immatricolazione',3,2
238,'A2145',15,24,39,78,'06122',3,2013,3,2013,86,'SAPM050003','Socio-Psico-Pedagogico',0,0,0,0,'Attivo','Immatricolazione',3,1
