TipoMaturità,VotoDiploma,CFU1,AnniFuoriCorso
11.0,100.0,48,0.0
11.0,82.0,48,1.0
11.0,98.0,48,0.0
11.0,100.0,60,0.0
11.0,97.0,15,1.0
11.0,100.0,60,0.0
11.0,83.0,48,1.0
11.0,98.0,36,1.0
11.0,98.0,48,1.0
11.0,91.0,27,1.0
13.0,83.0,39,1.0
7.0,95.0,54,0.0
11.0,94.0,6,1.0
11.0,100.0,60,0.0
11.0,100.0,48,1.0
11.0,98.0,54,0.0
11.0,87.0,39,1.0
11.0,80.0,6,1.0
5.0,77.0,27,1.0
12.0,86.0,15,1.0
11.0,80.0,48,1.0
11.0,75.0,39,1.0
13.0,100.0,48,0.0
13.0,72.0,27,1.0
11.0,73.0,15,1.0
11.0,78.0,48,1.0
11.0,85.0,27,1.0
11.0,82.0,15,1.0
11.0,92.0,48,1.0
3.0,98.0,54,0.0
11.0,100.0,60,0.0
11.0,91.0,48,1.0
11.0,90.0,48,1.0
11.0,60.0,39,1.0
13.0,86.0,39,1.0
11.0,82.0,54,0.0
11.0,86.0,36,1.0
11.0,100.0,54,1.0
11.0,100.0,48,1.0
11.0,82.0,15,1.0
5.0,86.0,60,0.0
11.0,84.0,33,1.0
11.0,100.0,54,1.0
11.0,97.0,54,0.0
11.0,100.0,48,0.0
11.0,73.0,36,1.0
2.0,83.0,27,1.0
11.0,89.0,6,1.0
11.0,86.0,48,1.0
11.0,100.0,54,0.0
5.0,80.0,36,1.0
11.0,78.0,54,1.0
11.0,87.0,48,1.0
11.0,95.0,48,0.0
11.0,95.0,48,1.0
5.0,91.0,24,1.0
11.0,74.0,15,1.0
11.0,98.0,48,1.0
11.0,73.0,15,1.0
7.0,80.0,27,1.0
11.0,78.0,39,1.0
11.0,82.0,15,1.0
11.0,87.0,27,1.0
11.0,100.0,15,1.0
11.0,76.0,39,1.0
11.0,91.0,54,1.0
11.0,97.0,48,1.0
11.0,80.0,36,1.0
11.0,80.0,15,1.0
13.0,87.0,48,0.0
11.0,100.0,15,1.0
11.0,90.0,48,1.0
5.0,90.0,48,1.0
11.0,100.0,54,0.0
5.0,100.0,48,0.0
11.0,78.0,24,1.0
11.0,85.0,54,0.0
11.0,67.0,48,1.0
11.0,70.0,27,1.0
5.0,92.0,27,1.0
6.0,66.0,18,1.0
11.0,94.0,60,0.0
5.0,91.0,24,1.0
11.0,86.0,54,1.0
13.0,100.0,60,0.0
11.0,81.0,54,0.0
7.0,85.0,42,1.0
11.0,100.0,60,0.0
11.0,100.0,54,0.0
11.0,88.0,48,1.0
11.0,80.0,48,1.0
5.0,89.0,54,0.0
11.0,100.0,36,1.0
11.0,100.0,54,1.0
5.0,100.0,48,1.0
11.0,87.0,48,1.0
5.0,70.0,30,1.0
13.0,62.0,21,1.0
13.0,100.0,48,0.0
5.0,90.0,60,0.0
11.0,80.0,48,1.0
11.0,84.0,42,1.0
11.0,100.0,60,0.0
11.0,100.0,48,1.0
11.0,83.0,36,1.0
7.0,86.0,36,1.0
11.0,96.0,54,0.0
13.0,95.0,42,1.0
11.0,81.0,48,1.0
11.0,81.0,54,1.0
11.0,72.0,48,1.0
13.0,100.0,9,1.0
13.0,83.0,48,1.0
11.0,100.0,60,0.0
11.0,86.0,30,1.0
11.0,95.0,42,1.0
11.0,78.0,48,1.0
11.0,74.0,54,1.0
13.0,80.0,36,1.0
11.0,95.0,9,1.0
8.0,99.0,54,1.0
11.0,84.0,54,0.0
11.0,100.0,54,1.0
7.0,76.0,54,1.0
11.0,100.0,60,0.0
12.0,80.0,39,1.0
11.0,78.0,48,1.0
11.0,85.0,54,1.0
11.0,87.0,48,1.0
11.0,97.0,54,0.0
4.0,99.0,48,1.0
11.0,70.0,54,1.0
11.0,67.0,9,1.0
5.0,90.0,54,1.0
11.0,81.0,18,1.0
11.0,100.0,48,1.0
11.0,88.0,36,1.0
11.0,81.0,48,1.0
11.0,66.0,42,1.0
11.0,74.0,54,1.0
11.0,88.0,54,1.0
11.0,98.0,36,1.0
11.0,68.0,42,1.0
11.0,96.0,54,0.0
7.0,100.0,48,1.0
11.0,93.0,48,1.0
5.0,100.0,48,0.0
5.0,100.0,48,0.0
11.0,94.0,30,1.0
11.0,88.0,54,1.0
11.0,100.0,42,1.0
11.0,100.0,48,0.0
5.0,92.0,48,1.0
11.0,76.0,21,1.0
11.0,80.0,27,1.0
11.0,86.0,42,1.0
11.0,75.0,21,1.0
11.0,74.0,6,1.0
4.0,88.0,9,1.0
5.0,72.0,48,1.0
11.0,92.0,48,1.0
11.0,95.0,48,1.0
11.0,85.0,54,0.0
11.0,68.0,33,1.0
11.0,88.0,60,0.0
11.0,100.0,54,0.0
11.0,100.0,54,0.0
11.0,98.0,54,1.0
11.0,72.0,48,1.0
11.0,70.0,54,0.0
13.0,60.0,6,1.0
11.0,90.0,27,1.0
11.0,72.0,54,0.0
10.0,73.0,54,1.0
5.0,84.0,6,1.0
5.0,83.0,54,1.0
11.0,72.0,54,1.0
11.0,75.0,42,1.0
11.0,100.0,54,1.0
11.0,97.0,36,1.0
11.0,71.0,54,1.0
7.0,84.0,54,0.0
5.0,100.0,54,0.0
11.0,100.0,60,0.0
11.0,85.0,42,1.0
